,episode,total_reward
203,203,48.3
204,204,48.051
205,205,47.802
206,206,47.553
207,207,47.304
208,208,47.055
209,209,46.806
210,210,46.557
211,211,46.308
212,212,46.059
213,213,45.81
214,214,45.561
215,215,45.312
216,216,45.063
217,217,44.814
218,218,44.565
219,219,44.315999999999995
220,220,44.067
221,221,43.818
222,222,43.568999999999996
223,223,43.32
224,224,43.071
225,225,42.821999999999996
226,226,42.573
227,227,42.324
228,228,42.074999999999996
229,229,41.826
230,230,41.577
231,231,41.327999999999996
232,232,41.079
233,233,40.83
234,234,40.580999999999996
235,235,40.332
236,236,40.083
237,237,39.833999999999996
238,238,39.585
239,239,39.336
240,240,39.086999999999996
241,241,38.838
242,242,38.589
243,243,38.339999999999996
244,244,38.091
245,245,37.841
246,246,37.592
247,247,37.342999999999996
248,248,37.094
249,249,36.845
250,250,36.596
251,251,36.347
252,252,36.098
253,253,35.849000000000004
254,254,35.599999999999994
255,255,35.351
256,256,35.102000000000004
257,257,34.852999999999994
258,258,34.604
259,259,34.355000000000004
260,260,34.105999999999995
261,261,33.857
262,262,33.608000000000004
263,263,33.358000000000004
264,264,33.108999999999995
265,265,32.86
266,266,32.611000000000004
267,267,32.361999999999995
268,268,32.113
269,269,31.864000000000004
270,270,31.614999999999995
271,271,31.366
272,272,31.117000000000004
273,273,30.867999999999995
274,274,30.617999999999995
275,275,30.369
276,276,30.119
277,277,29.870000000000005
278,278,29.620999999999995
279,279,29.370999999999995
280,280,29.122
281,281,28.873000000000005
282,282,28.623999999999995
283,283,28.375
284,284,28.126000000000005
285,285,27.876999999999995
286,286,27.628
287,287,27.379000000000005
288,288,27.129999999999995
289,289,26.881
290,290,26.632000000000005
291,291,26.382999999999996
292,292,26.134
293,293,25.885000000000005
294,294,25.635999999999996
295,295,25.387
296,296,25.138000000000005
297,297,24.888999999999996
298,298,24.64
299,299,24.391000000000005
300,300,24.141999999999996
301,301,23.893
302,302,23.644000000000005
303,303,23.394999999999996
304,304,23.146
305,305,22.89699999999999
306,306,22.647999999999996
307,307,22.399
308,308,22.14999999999999
309,309,21.900999999999996
310,310,21.652
311,311,21.40299999999999
312,312,21.153999999999996
313,313,20.905
314,314,20.65599999999999
315,315,20.406999999999996
316,316,20.158
317,317,19.908999999999992
318,318,19.659999999999997
319,319,19.411
320,320,19.161999999999992
321,321,18.912999999999997
322,322,18.664
323,323,18.414
324,324,18.164999999999992
325,325,17.915999999999997
326,326,17.667
327,327,17.417999999999992
328,328,17.168999999999997
329,329,16.92
330,330,16.670999999999992
331,331,16.421999999999997
332,332,16.173000000000002
333,333,15.923999999999992
334,334,15.674999999999997
335,335,15.426000000000002
336,336,15.176999999999992
337,337,14.927999999999997
338,338,14.679000000000002
339,339,14.429999999999993
340,340,14.180999999999997
341,341,13.932000000000002
342,342,13.682999999999993
343,343,13.433999999999997
344,344,13.185000000000002
345,345,12.935999999999993
346,346,12.686999999999998
347,347,12.438000000000002
348,348,12.188999999999993
349,349,11.939999999999998
350,350,11.689999999999998
351,351,11.439999999999998
352,352,11.191000000000003
353,353,10.941999999999993
354,354,10.692999999999998
355,355,10.444000000000003
356,356,10.194999999999993
357,357,9.944999999999993
358,358,9.694999999999993
359,359,9.445999999999998
360,360,9.197000000000003
361,361,8.947999999999993
362,362,8.698999999999998
363,363,8.450000000000003
364,364,8.200999999999993
365,365,7.951999999999998
366,366,7.703000000000003
367,367,7.4539999999999935
368,368,7.204999999999998
369,369,6.956000000000003
370,370,6.706999999999994
371,371,6.457999999999998
372,372,6.209000000000003
373,373,5.959999999999994
374,374,5.7109999999999985
375,375,5.462000000000003
376,376,5.212999999999994
377,377,4.962999999999994
378,378,4.713999999999999
379,379,4.465000000000003
380,380,4.215999999999994
381,381,3.9669999999999987
382,382,3.7180000000000035
383,383,3.468999999999994
384,384,3.219999999999999
385,385,2.9710000000000036
386,386,2.7210000000000036
387,387,2.471999999999994
388,388,2.221999999999994
389,389,1.972999999999999
390,390,1.7240000000000038
391,391,1.4749999999999943
392,392,1.225999999999999
393,393,0.9770000000000039
394,394,0.7279999999999944
395,395,0.4789999999999992
396,396,0.23000000000000398
397,397,-0.019000000000005457
398,398,-0.2680000000000007
399,399,-0.5169999999999959
