,episode,total_reward
0,0,99.94539999999999
1,1,-200.25175
2,2,-200.32175
3,3,-100.46762
4,4,-103.4606
5,5,-200.93539
6,6,-201.0146
7,7,-201.1193
8,8,-201.1748
9,9,-201.25401
10,10,-201.33322
11,11,-101.60893
12,12,-106.69591
13,13,-107.39453999999999
14,14,-208.98326
15,15,-209.64534
16,16,-202.93891000000002
17,17,-103.28899
18,18,-211.59824
19,19,-203.30545999999998
20,20,-203.38467
21,21,-203.50324999999998
22,22,-104.02788
23,23,-203.77740999999997
24,24,-204.37544
25,25,-104.43751
26,26,-204.10683
27,27,-204.09667
28,28,-204.83997000000002
29,29,-204.26755
30,30,-104.9389
31,31,-204.54725000000002
32,32,-204.62825
33,33,-204.76203
34,34,-105.43609
35,35,-204.88253999999998
36,36,-105.63681
37,37,-220.26185
38,38,-221.1327
39,39,-106.50036
40,40,-222.8667
41,41,-224.02270000000001
42,42,-133.03451
43,43,-234.7534
44,44,-236.68939999999998
45,45,-238.6254
46,46,-140.46702
47,47,-242.19672
48,48,-144.51895000000002
49,49,-146.03358
50,50,-147.94327
51,51,-250.3181
52,52,-252.0215
53,53,-254.32401000000002
54,54,-157.96245
55,55,-166.48654000000002
56,56,-160.51201
57,57,-172.10494
58,58,-264.71543
59,59,-273.87323
60,60,-268.19879000000003
61,61,-270.11723
62,62,-272.70237
63,63,-185.11263
64,64,-176.527
65,65,-178.82407
66,66,-180.59274999999997
67,67,-281.78018000000003
68,68,-196.68988000000002
69,69,-186.88615
70,70,-288.83979
71,71,-204.31018
72,72,-206.02737000000002
73,73,-195.25763
74,74,-297.21127
75,75,-299.16491
76,76,-214.99565
77,77,-217.98892
78,78,-205.08300000000003
79,79,-183.74874999999997
80,80,-183.69950000000003
81,81,-208.77175
82,82,-227.61973
83,83,-222.93352
84,84,-224.30793
85,85,-126.21657
86,86,-223.50755
87,87,-223.58855
88,88,-223.66955000000002
89,89,-223.48621
90,90,-127.27955
91,91,-127.44744000000001
92,92,-127.07608
93,93,-127.24273
94,94,-127.40837
95,95,-127.57401
96,96,-127.73965000000001
97,97,-127.90529000000001
98,98,-128.07093
99,99,-128.23757999999998
100,100,-128.40322
101,101,-128.56987
102,102,-128.73652
103,103,-128.90215999999998
104,104,-129.0678
105,105,-129.23344
106,106,-129.39908
107,107,-129.56472000000002
108,108,-129.73137
109,109,-129.89701
110,110,-130.06366
111,111,-130.22930000000002
112,112,-130.39595
113,113,-130.5626
114,114,-130.72824
115,115,-130.89388000000002
116,116,-131.06053
117,117,-131.22718
118,118,-131.39382999999998
119,119,-131.56047999999998
120,120,-131.72612
121,121,-131.89176
122,122,-132.69323
123,123,-228.38744
124,124,-132.31091
125,125,-342.23220000000003
126,126,-132.92196
127,127,-244.22682999999995
128,128,-229.54088
129,129,-134.62004000000002
130,130,-134.45865
131,131,-134.62963
132,132,-230.06420000000003
133,133,-233.53526
134,134,-230.91179
135,135,-230.31251
136,136,-134.49554
137,137,-230.88845
138,138,-230.96945
139,139,-137.6159
140,140,-231.19895000000002
141,141,-230.93195000000003
142,142,64.80149999999999
143,143,-231.55265
144,144,-231.63365000000002
145,145,-232.06749
146,146,-231.44281
147,147,-135.77824
148,148,-324.69421
149,149,-319.38838999999996
150,150,-225.60415000000003
151,151,-321.62595
152,152,-227.93635
153,153,-323.86351
154,154,-138.76713999999998
155,155,-233.63933000000003
156,156,-231.14830000000006
157,157,-226.94512000000003
158,158,-138.95368
159,159,-334.06010000000003
160,160,-140.25446
161,161,-140.42853000000002
162,162,-235.07935
163,163,-139.9051
164,164,-140.07175
165,165,-232.25767000000002
166,166,-140.57473
167,167,-235.89637
168,168,-236.78493000000003
169,169,-238.08457
170,170,-238.98608000000002
171,171,-141.11609
172,172,-141.69505
173,173,-141.86437
174,174,-142.03267
175,175,-142.20199
176,176,-142.37131
177,177,-237.113
178,178,-237.19221
179,179,-237.27142
180,180,-238.19088
181,181,-142.48464
182,182,-346.17994999999996
183,183,-145.15229
184,184,-341.92287000000005
185,185,-238.34743
186,186,-144.47849000000002
187,187,-144.64741
188,188,-143.94409000000002
189,189,-238.86452
190,190,-238.94373
191,191,-239.02294
192,192,-239.54194999999999
193,193,-144.47131000000002
194,194,-240.21836
195,195,-242.9613
196,196,-239.94514999999998
197,197,-239.58097
198,198,-145.45987000000002
199,199,-145.18336000000002
