,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.leftforward1,243.79257352280388,-1.6,22.22,0.0,0.0,0.0,90.0
1,0.02,car.leftforward1,244.01476053362182,-1.6,22.21891868179972,0.0,-0.10813182002777921,0.0,90.0
2,0.03,car.leftforward1,244.23693682344503,-1.6,22.217846571826396,0.0,-0.1072109973325297,0.0,90.0
3,0.04,car.leftforward1,244.45910248378692,-1.6,22.216783613280693,0.0,-0.1062958545702486,0.0,90.0
4,0.05,car.leftforward1,244.68125760559582,-1.6,22.215729749662902,0.0,-0.10538636177912508,0.0,90.0
5,0.06,car.leftforward1,244.90340227925816,-1.6,22.214684924771504,0.0,-0.10448248913981217,0.0,90.0
6,0.07,car.leftforward1,245.12553659460121,-1.6,22.213649082701778,0.0,-0.10358420697258452,0.0,90.0
7,0.08,car.leftforward1,245.34766064089627,-1.6,22.212622167844383,0.0,-0.10269148573947007,0.0,90.0
8,0.09,car.leftforward1,245.56977450686145,-1.6,22.211604124883973,0.0,-0.10180429604105257,0.0,90.0
9,0.1,car.leftforward1,245.79187828066455,-1.6,22.21059489879779,0.0,-0.10092260861824798,0.0,90.0
10,0.11,car.leftforward1,246.01397204992628,-1.6,22.209594434854292,0.0,-0.10004639434981755,0.0,90.0
11,0.12,car.leftforward1,246.23605590172264,-1.6,22.208602678611765,0.0,-0.09917562425272308,0.0,90.0
12,0.13,car.leftforward1,246.45812992258834,-1.6,22.207619575916954,0.0,-0.09831026948106114,0.0,90.0
13,0.14,car.leftforward1,246.68019419851942,-1.6,22.20664507290369,0.0,-0.0974503013264183,0.0,90.0
14,0.15,car.leftforward1,246.9022488149759,-1.6,22.20567911599153,0.0,-0.09659569121609479,0.0,90.0
15,0.16,car.leftforward1,247.12429385688506,-1.6,22.2047216518844,0.0,-0.09574641071274925,0.0,90.0
16,0.17,car.leftforward1,247.34632940864407,-1.6,22.20377262756925,0.0,-0.09490243151510924,0.0,90.0
17,0.18,car.leftforward1,247.56835555412266,-1.6,22.202831990314696,0.0,-0.09406372545548436,0.0,90.0
18,0.19,car.leftforward1,247.79037237666608,-1.6,22.201899687669695,0.0,-0.0932302645001215,0.0,90.0
19,0.2,car.leftforward1,248.01237995909787,-1.6,22.200975667462203,0.0,-0.0924020207492049,0.0,90.0
20,0.21,car.leftforward1,248.2343783837228,-1.6,22.20005987779785,0.0,-0.09157896643507968,0.0,90.0
21,0.22,car.leftforward1,248.45636773232917,-1.6,22.19915226705863,0.0,-0.09076107392225197,0.0,90.0
22,0.23,car.leftforward1,248.67834808619205,-1.6,22.19825278390156,0.0,-0.08994831570703354,0.0,90.0
23,0.24,car.leftforward1,248.9003195260758,-1.6,22.19736137725739,0.0,-0.08914066441683133,0.0,90.0
24,0.25,car.leftforward1,249.12228213223676,-1.6,22.196477996329293,0.0,-0.0883380928097921,0.0,90.0
25,0.26,car.leftforward1,249.34423598442606,-1.6,22.195602590591562,0.0,-0.08754057377302615,0.0,90.0
26,0.27,car.leftforward1,249.56618116189236,-1.6,22.194735109788326,0.0,-0.0867480803236731,0.0,90.0
27,0.28,car.leftforward1,249.78811774338425,-1.6,22.193875503932247,0.0,-0.08596058560783604,0.0,90.0
28,0.29,car.leftforward1,250.0100458071533,-1.6,22.193023723303252,0.0,-0.0851780628995158,0.0,90.0
29,0.3,car.leftforward1,250.2319654309564,-1.6,22.19217971844725,0.0,-0.08440048560025559,0.0,90.0
30,0.31,car.leftforward1,250.4538766920587,-1.6,22.19134344017486,0.0,-0.08362782723878581,0.0,90.0
31,0.32,car.leftforward1,250.675779667236,-1.6,22.19051483956016,0.0,-0.08286006147031344,0.0,90.0
32,0.33,car.leftforward1,250.89767443277748,-1.6,22.189693867939393,0.0,-0.08209716207652207,0.0,90.0
33,0.34,car.leftforward1,251.11956106448832,-1.6,22.18888047690975,0.0,-0.08133910296450608,0.0,90.0
34,0.35,car.leftforward1,251.3414396376923,-1.6,22.188074618328095,0.0,-0.08058585816534958,0.0,90.0
35,0.36,car.leftforward1,251.56331022723424,-1.6,22.187276244309736,0.0,-0.07983740183590271,0.0,90.0
36,0.37,car.leftforward1,251.78517290748283,-1.6,22.18648530722718,0.0,-0.07909370825558426,0.0,90.0
37,0.38,car.leftforward1,252.007027752333,-1.6,22.1857017597089,0.0,-0.07835475182815799,0.0,90.0
38,0.39,car.leftforward1,252.22887483520844,-1.6,22.184925554638102,0.0,-0.077620507079601,0.0,90.0
39,0.4,car.leftforward1,252.45071422906432,-1.6,22.184156645151525,0.0,-0.07689094865774848,0.0,90.0
40,0.41,car.leftforward1,252.67254600638967,-1.6,22.183394984638195,0.0,-0.07616605133300425,0.0,90.0
41,0.42,car.leftforward1,252.89437023920993,-1.6,22.182640526738226,0.0,-0.07544578999691964,0.0,90.0
42,0.43,car.leftforward1,253.1161869990894,-1.6,22.18189322534162,0.0,-0.0747301396604172,0.0,90.0
43,0.44,car.leftforward1,253.33799635713376,-1.6,22.18115303458706,0.0,-0.0740190754562775,0.0,90.0
44,0.45,car.leftforward1,253.5597983839927,-1.6,22.180419908860706,0.0,-0.07331257263523128,0.0,90.0
45,0.46,car.leftforward1,253.7815931498621,-1.6,22.17969380279502,0.0,-0.07261060656880147,0.0,90.0
46,0.47,car.leftforward1,254.00338072448665,-1.6,22.178974671267564,0.0,-0.07191315274539534,0.0,90.0
47,0.48,car.leftforward1,254.22516117716225,-1.6,22.17826246939984,0.0,-0.07122018677243602,0.0,90.0
48,0.49,car.leftforward1,254.44693457673856,-1.6,22.17755715255609,0.0,-0.0705316843749415,0.0,90.0
49,0.5,car.leftforward1,254.66870099162105,-1.6,22.176858676342146,0.0,-0.06984762139445877,0.0,90.0
50,0.51,car.leftforward1,254.89046048977394,-1.6,22.176166996604255,0.0,-0.06916797378906381,0.0,90.0
51,0.52,car.leftforward1,255.11221313872215,-1.6,22.175482069427925,0.0,-0.06849271763300635,0.0,90.0
52,0.53,car.leftforward1,255.33395900555388,-1.6,22.174803851136762,0.0,-0.06782182911635459,0.0,90.0
53,0.54,car.leftforward1,255.55569815692292,-1.6,22.174132298291326,0.0,-0.06715528454357411,0.0,90.0
54,0.55,car.leftforward1,255.777430659051,-1.6,22.17346736768799,0.0,-0.06649306033352786,0.0,90.0
55,0.56,car.leftforward1,255.99915657773028,-1.6,22.172809016357792,0.0,-0.06583513301983146,0.0,90.0
56,0.57,car.leftforward1,256.22087597832547,-1.6,22.172157201565305,0.0,-0.06518147924872153,0.0,90.0
57,0.58,car.leftforward1,256.44258892577625,-1.6,22.171511880807508,0.0,-0.06453207577976627,0.0,90.0
58,0.59,car.leftforward1,256.66429548459973,-1.6,22.170873011812652,0.0,-0.06388689948551018,0.0,90.0
59,0.6,car.leftforward1,256.88599571889233,-1.6,22.170240552539155,0.0,-0.0632459273496977,0.0,90.0
60,0.61,car.leftforward1,257.10768969233266,-1.6,22.16961446117448,0.0,-0.06260913646762845,0.0,90.0
61,0.62,car.leftforward1,257.3293774681832,-1.6,22.168994696134018,0.0,-0.06197650404615729,0.0,90.0
62,0.63,car.leftforward1,257.55105910929313,-1.6,22.168381216059995,0.0,-0.0613480074022732,0.0,90.0
63,0.64,car.leftforward1,257.77273467810016,-1.6,22.16777397982036,0.0,-0.06072362396345454,0.0,90.0
64,0.65,car.leftforward1,257.9944042366329,-1.6,22.167172946507705,0.0,-0.06010333126553746,0.0,90.0
65,0.66,car.leftforward1,258.2160678465132,-1.6,22.166578075438153,0.0,-0.05948710695520276,0.0,90.0
66,0.67,car.leftforward1,258.43772556895834,-1.6,22.165989326150292,0.0,-0.058874928786067926,0.0,90.0
67,0.68,car.leftforward1,258.659377464783,-1.6,22.165406658404088,0.0,-0.05826677462046348,0.0,90.0
68,0.69,car.leftforward1,258.88102359440194,-1.6,22.164830032179793,0.0,-0.057662622429432986,0.0,90.0
69,0.7,car.leftforward1,259.1026640178317,-1.6,22.1642594076769,0.0,-0.05706245028918033,0.0,90.0
70,0.71,car.leftforward1,259.32429879469316,-1.6,22.163694745313062,0.0,-0.056466236383911905,0.0,90.0
71,0.72,car.leftforward1,259.5459279842134,-1.6,22.163136005723022,0.0,-0.055873959004060225,0.0,90.0
72,0.73,car.leftforward1,259.7675516452281,-1.6,22.16258314975757,0.0,-0.05528559654521814,0.0,90.0
73,0.74,car.leftforward1,259.9891698361837,-1.6,22.162036138482485,0.0,-0.054701127508494096,0.0,90.0
74,0.75,car.leftforward1,260.2107826151392,-1.6,22.161494933177483,0.0,-0.05412053050015686,0.0,90.0
75,0.76,car.leftforward1,260.43239003976873,-1.6,22.16095949533518,0.0,-0.05354378423021444,0.0,90.0
76,0.77,car.leftforward1,260.65399216736336,-1.6,22.160429786660046,0.0,-0.0529708675134799,0.0,90.0
77,0.78,car.leftforward1,260.8755890548334,-1.6,22.159905769067375,0.0,-0.05240175926708446,0.0,90.0
78,0.79,car.leftforward1,261.0971807587104,-1.6,22.159387404682256,0.0,-0.051836438511898564,0.0,90.0
79,0.8,car.leftforward1,261.3187673351491,-1.6,22.15887465583855,0.0,-0.05127488437075556,0.0,90.0
80,0.81,car.leftforward1,261.54034883992995,-1.6,22.158367485077854,0.0,-0.050717076069517475,0.0,90.0
81,0.82,car.leftforward1,261.7619253284606,-1.6,22.157865855148508,0.0,-0.050162992934588146,0.0,90.0
82,0.83,car.leftforward1,261.98349685577836,-1.6,22.157369729004564,0.0,-0.04961261439433429,0.0,90.0
83,0.84,car.leftforward1,262.20506347655225,-1.6,22.15687906980479,0.0,-0.049065919977309136,0.0,90.0
84,0.85,car.leftforward1,262.42662524508467,-1.6,22.15639384091167,0.0,-0.04852288931225246,0.0,90.0
