,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
67,0.68,car.rightforward2,270.06879994037376,-8.0,22.22,0.0,0.0,0.0,90.0
68,0.69,car.rightforward2,270.29099776426784,-8.0,22.22,0.0,0.0,0.0,90.0
69,0.7,car.rightforward2,270.51319558816186,-8.0,22.22,0.0,0.0,0.0,90.0
70,0.71,car.rightforward2,270.73539341205594,-8.0,22.22,0.0,0.0,0.0,90.0
71,0.72,car.rightforward2,270.95759123595,-8.0,22.22,0.0,0.0,0.0,90.0
72,0.73,car.rightforward2,271.17978905984404,-8.0,22.22,0.0,0.0,0.0,90.0
73,0.74,car.rightforward2,271.4019868837381,-8.0,22.22,0.0,0.0,0.0,90.0
74,0.75,car.rightforward2,271.6241847076322,-8.0,22.22,0.0,0.0,0.0,90.0
75,0.76,car.rightforward2,271.8463825315262,-8.0,22.22,0.0,0.0,0.0,90.0
76,0.77,car.rightforward2,272.0685803554203,-8.0,22.22,0.0,0.0,0.0,90.0
77,0.78,car.rightforward2,272.2907781793144,-8.0,22.22,0.0,0.0,0.0,90.0
78,0.79,car.rightforward2,272.51297600320845,-8.0,22.22,0.0,0.0,0.0,90.0
79,0.8,car.rightforward2,272.73517382710247,-8.0,22.22,0.0,0.0,0.0,90.0
80,0.81,car.rightforward2,272.95737165099655,-8.0,22.22,0.0,0.0,0.0,90.0
81,0.82,car.rightforward2,273.1795694748906,-8.0,22.22,0.0,0.0,0.0,90.0
82,0.83,car.rightforward2,273.40176729878465,-8.0,22.22,0.0,0.0,0.0,90.0
83,0.84,car.rightforward2,273.6239651226787,-8.0,22.22,0.0,0.0,0.0,90.0
84,0.85,car.rightforward2,273.8461629465728,-8.0,22.22,0.0,0.0,0.0,90.0
85,0.86,car.rightforward2,274.0683607704668,-8.0,22.22,0.0,0.0,0.0,90.0
86,0.87,car.rightforward2,274.2905585943609,-8.0,22.22,0.0,0.0,0.0,90.0
87,0.88,car.rightforward2,274.512756418255,-8.0,22.22,0.0,0.0,0.0,90.0
88,0.89,car.rightforward2,274.73495424214906,-8.0,22.22,0.0,0.0,0.0,90.0
89,0.9,car.rightforward2,274.9571520660431,-8.0,22.22,0.0,0.0,0.0,90.0
90,0.91,car.rightforward2,275.17934988993716,-8.0,22.22,0.0,0.0,0.0,90.0
91,0.92,car.rightforward2,275.40154771383123,-8.0,22.22,0.0,0.0,0.0,90.0
