,vehicle_id,time,input acceleration,desire acceleration
106,car.rightforward1,0.1,-1.0,-1.0
107,car.rightforward2,0.1,0.0,0.0
108,car.rightrear0,0.1,-1.0,-1.0
109,car.rightrear1,0.1,0.5643114186981321,0.5643114186981321
110,car.forward,0.11,0.0,0.0
111,car.leftforward0,0.11,-1.0,-1.0
112,car.leftforward1,0.11,-0.09922521206474057,-0.09922521206474057
113,car.leftforward2,0.11,0.0,0.0
114,car.leftrear0,0.11,0.5330220745905629,0.5330220745905629
115,car.leftrear1,0.11,1.0,1.0
116,car.rightforward0,0.11,0.13371344120361484,0.13371344120361484
117,car.rightforward1,0.11,-1.0,-1.0
118,car.rightforward2,0.11,0.0,0.0
119,car.rightrear0,0.11,-1.0,-1.0
120,car.rightrear1,0.11,0.5602536054128171,0.5602536054128171
121,car.forward,0.12,0.0,0.0
122,car.leftforward0,0.12,-1.0,-1.0
123,car.leftforward1,0.12,-0.0983594246158182,-0.0983594246158182
124,car.leftforward2,0.12,0.0,0.0
125,car.leftrear0,0.12,0.5353235123656471,0.5353235123656471
126,car.leftrear1,0.12,1.0,1.0
127,car.rightforward0,0.12,0.1262025555033194,0.1262025555033194
128,car.rightforward1,0.12,-1.0,-1.0
129,car.rightforward2,0.12,0.0,0.0
130,car.rightrear0,0.12,-1.0,-1.0
131,car.rightrear1,0.12,0.5561780258817945,0.5561780258817945
132,car.forward,0.13,0.0,0.0
133,car.leftforward0,0.13,-1.0,-1.0
134,car.leftforward1,0.13,-0.09749902647706624,-0.09749902647706624
135,car.leftforward2,0.13,0.0,0.0
136,car.leftrear0,0.13,0.5376146865811772,0.5376146865811772
137,car.leftrear1,0.13,1.0,1.0
138,car.rightforward0,0.13,0.11873296763145265,0.11873296763145265
139,car.rightforward1,0.13,-1.0,-1.0
140,car.rightforward2,0.13,0.0,0.0
141,car.rightrear0,0.13,-1.0,-1.0
142,car.rightrear1,0.13,0.5520850025780984,0.5520850025780984
143,car.forward,0.14,0.0,0.0
144,car.leftforward0,0.14,-1.0,-1.0
145,car.leftforward1,0.14,-0.09664398906160336,-0.09664398906160336
146,car.leftforward2,0.14,0.0,0.0
147,car.leftrear0,0.14,0.5398956386332266,0.5398956386332266
148,car.leftrear1,0.14,1.0,1.0
149,car.rightforward0,0.14,0.11130447604900057,0.11130447604900057
150,car.rightforward1,0.14,-1.0,-1.0
151,car.rightforward2,0.14,0.0,0.0
152,car.rightrear0,0.14,-1.0,-1.0
153,car.rightrear1,0.14,0.5479748552376602,0.5479748552376602
154,car.forward,0.15,0.0,0.0
155,car.leftforward0,0.15,-1.0,-1.0
156,car.leftforward1,0.15,-0.09579428391825502,-0.09579428391825502
157,car.leftforward2,0.15,0.0,0.0
158,car.leftrear0,0.15,0.5421664097705168,0.5421664097705168
159,car.leftrear1,0.15,1.0,1.0
