,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.leftrear0,139.55205050815638,-1.6,22.22,0.0,0.0,0.0,90.0
1,0.02,car.leftrear0,139.7742992494916,-1.6,22.22509179398015,0.0,0.5091793980149362,0.0,90.0
2,0.03,car.leftrear0,139.99659914878362,-1.6,22.230207639763183,0.0,0.51158457830347,0.0,90.0
3,0.04,car.leftrear0,140.2189504454801,-1.6,22.23534743054531,0.0,0.5139790782127562,0.0,90.0
4,0.05,car.leftrear0,140.44135337796496,-1.6,22.240511059951466,0.0,0.5163629406155223,0.0,90.0
5,0.06,car.leftrear0,140.6638081835626,-1.6,22.245698422033776,0.0,0.5187362082310187,0.0,90.0
6,0.07,car.leftrear0,140.88631509854227,-1.6,22.250909411270065,0.0,0.5210989236289265,0.0,90.0
7,0.08,car.leftrear0,141.10887435812222,-1.6,22.256143922562337,0.0,0.5234511292272259,0.0,90.0
8,0.09,car.leftrear0,141.33148619647397,-1.6,22.26140185123528,0.0,0.525792867294328,0.0,90.0
9,0.1,car.leftrear0,141.55415084672651,-1.6,22.26668309303476,0.0,0.5281241799480085,0.0,90.0
10,0.11,car.leftrear0,141.77686854097047,-1.6,22.271987544126336,0.0,0.5304451091575402,0.0,90.0
11,0.12,car.leftrear0,141.99963951026237,-1.6,22.27731510109376,0.0,0.5327556967422709,0.0,90.0
12,0.13,car.leftrear0,142.2224639846287,-1.6,22.282665660937493,0.0,0.5350559843734004,0.0,90.0
13,0.14,car.leftrear0,142.4453421930701,-1.6,22.288039121073236,0.0,0.5373460135743358,0.0,90.0
14,0.15,car.leftrear0,142.66827436356562,-1.6,22.29343537933044,0.0,0.5396258257203357,0.0,90.0
15,0.16,car.leftrear0,142.89126072307664,-1.6,22.298854333950835,0.0,0.5418954620395766,0.0,90.0
16,0.17,car.leftrear0,143.1143014975511,-1.6,22.304295883586967,0.0,0.5441549636131526,0.0,90.0
17,0.18,car.leftrear0,143.33739691192758,-1.6,22.309759927300725,0.0,0.546404371375786,0.0,90.0
18,0.19,car.leftrear0,143.56054719013937,-1.6,22.315246364561894,0.0,0.548643726116893,0.0,90.0
19,0.2,car.leftrear0,143.78375254813716,-1.6,22.320754397105937,0.0,0.5508032544042862,0.0,90.0
20,0.21,car.leftrear0,144.0070131905522,-1.6,22.326282892972625,0.0,0.5528495866688132,0.0,90.0
21,0.22,car.leftrear0,144.23032931081897,-1.6,22.331830732480743,0.0,0.5547839508118102,0.0,90.0
22,0.23,car.leftrear0,144.45370109129718,-1.6,22.33739680813276,0.0,0.5566075652016167,0.0,90.0
23,0.24,car.leftrear0,144.67712870339244,-1.6,22.342980024520124,0.0,0.5583216387364587,0.0,90.0
24,0.25,car.leftrear0,144.90061230767645,-1.6,22.348579298229176,0.0,0.5599273709052,0.0,90.0
25,0.26,car.leftrear0,145.12415205400583,-1.6,22.35419355774766,0.0,0.5614259518484488,0.0,90.0
26,0.27,car.leftrear0,145.34774808164025,-1.6,22.359821743371864,0.0,0.5628185624203752,0.0,90.0
27,0.28,car.leftrear0,145.57140051935963,-1.6,22.365462807114348,0.0,0.5641063742483965,0.0,90.0
28,0.29,car.leftrear0,145.79510948558038,-1.6,22.371115712612276,0.0,0.5652905497928629,0.0,90.0
29,0.3,car.leftrear0,146.01887508847068,-1.6,22.376779435036354,0.0,0.5663722424078088,0.0,90.0
30,0.31,car.leftrear0,146.242697426065,-1.6,22.38245296100036,0.0,0.5673525964006387,0.0,90.0
31,0.32,car.leftrear0,146.46657658637753,-1.6,22.388135288471258,0.0,0.5682327470896809,0.0,90.0
32,0.33,car.leftrear0,146.69051264751488,-1.6,22.393825426679907,0.0,0.5690138208649387,0.0,90.0
33,0.34,car.leftrear0,146.91450567778784,-1.6,22.39952239603235,0.0,0.5696969352442238,0.0,90.0
34,0.35,car.leftrear0,147.1385557358222,-1.6,22.405225228021685,0.0,0.5702831989335522,0.0,90.0
35,0.36,car.leftrear0,147.36266287066871,-1.6,22.41093296514052,0.0,0.570773711883632,0.0,90.0
36,0.37,car.leftrear0,147.58682712191242,-1.6,22.416644660793995,0.0,0.571169565347418,0.0,90.0
37,0.38,car.leftrear0,147.81104851978066,-1.6,22.422359379213365,0.0,0.5714718419369547,0.0,90.0
38,0.39,car.leftrear0,148.03532708525057,-1.6,22.428076195370178,0.0,0.5716816156812854,0.0,90.0
39,0.4,car.leftrear0,148.25966283015572,-1.6,22.433794194890993,0.0,0.5717999520815198,0.0,90.0
40,0.41,car.leftrear0,148.48405575729169,-1.6,22.43951247397267,0.0,0.5718279081676769,0.0,90.0
41,0.42,car.leftrear0,148.70850586052092,-1.6,22.445230139298214,0.0,0.571766532554463,0.0,90.0
42,0.43,car.leftrear0,148.93301312487688,-1.6,22.450946307953174,0.0,0.571616865495983,0.0,90.0
43,0.44,car.leftrear0,149.15757752666718,-1.6,22.4566601073426,0.0,0.5713799389425844,0.0,90.0
44,0.45,car.leftrear0,149.3821990335759,-1.6,22.46237067510853,0.0,0.5710567765930818,0.0,90.0
45,0.46,car.leftrear0,149.60687760476512,-1.6,22.468077159048057,0.0,0.5706483939526663,0.0,90.0
46,0.47,car.leftrear0,149.8316131909758,-1.6,22.473778717031887,0.0,0.5701557983829986,0.0,90.0
47,0.48,car.leftrear0,150.0564057346276,-1.6,22.47947451692349,0.0,0.5695799891601183,0.0,90.0
48,0.49,car.leftrear0,150.28125516991796,-1.6,22.48516373649874,0.0,0.568921957525248,0.0,90.0
49,0.5,car.leftrear0,150.50616142292054,-1.6,22.490845563366126,0.0,0.5681826867384387,0.0,90.0
50,0.51,car.leftrear0,150.73112441168269,-1.6,22.496519194887462,0.0,0.5673631521336375,0.0,90.0
51,0.52,car.leftrear0,150.9561440463222,-1.6,22.50218383809914,0.0,0.5664643211677145,0.0,90.0
52,0.53,car.leftrear0,151.18122022912326,-1.6,22.5078387096339,0.0,0.5654871534762407,0.0,90.0
53,0.54,car.leftrear0,151.40635285463165,-1.6,22.513483035643137,0.0,0.5644326009235812,0.0,90.0
54,0.55,car.leftrear0,151.6315418097491,-1.6,22.519116051719685,0.0,0.5633016076547648,0.0,90.0
55,0.56,car.leftrear0,151.85678697382713,-1.6,22.52473700282116,0.0,0.5620951101473537,0.0,90.0
56,0.57,car.leftrear0,152.08208821875962,-1.6,22.53034514319378,0.0,0.5608140372622472,0.0,90.0
57,0.58,car.leftrear0,152.30744540907523,-1.6,22.535939736296736,0.0,0.5594593102955514,0.0,90.0
58,0.59,car.leftrear0,152.53285840202867,-1.6,22.541520054727002,0.0,0.5580318430265407,0.0,90.0
59,0.6,car.leftrear0,152.7583270476912,-1.6,22.547085380144708,0.0,0.5565325417705935,0.0,90.0
60,0.61,car.leftrear0,152.98385118904082,-1.6,22.552635003198994,0.0,0.5549623054285746,0.0,90.0
61,0.62,car.leftrear0,153.2094306620511,-1.6,22.558168223454338,0.0,0.5533220255344418,0.0,90.0
62,0.63,car.leftrear0,153.43506529577974,-1.6,22.563684349317413,0.0,0.5516125863074706,0.0,90.0
63,0.64,car.leftrear0,153.6607549124564,-1.6,22.569182697964404,0.0,0.5498348646991502,0.0,90.0
64,0.65,car.leftrear0,153.88649932756945,-1.6,22.574662595268833,0.0,0.5479897304429215,0.0,90.0
65,0.66,car.leftrear0,154.1122983499523,-1.6,22.58012337572986,0.0,0.5460780461024939,0.0,90.0
66,0.67,car.leftrear0,154.338151781869,-1.6,22.585564382401063,0.0,0.5441006671205173,0.0,90.0
67,0.68,car.leftrear0,154.564059419099,-1.6,22.590984966819715,0.0,0.5420584418651231,0.0,90.0
68,0.69,car.leftrear0,154.7900210510214,-1.6,22.596384488936504,0.0,0.5399522116789512,0.0,90.0
69,0.7,car.leftrear0,155.01603646069822,-1.6,22.601762317045765,0.0,0.5377828109260463,0.0,90.0
70,0.71,car.leftrear0,155.24210542495723,-1.6,22.607117827716152,0.0,0.5355510670387531,0.0,90.0
71,0.72,car.leftrear0,155.4682277144741,-1.6,22.6124504057218,0.0,0.5332578005646127,0.0,90.0
72,0.73,car.leftrear0,155.6944030938535,-1.6,22.61775944397393,0.0,0.5309038252132581,0.0,90.0
