,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
67,0.68,car.leftforward2,289.4405518256409,-1.6,22.22,0.0,0.0,0.0,90.0
68,0.69,car.leftforward2,289.662749649535,-1.6,22.22,0.0,0.0,0.0,90.0
69,0.7,car.leftforward2,289.884947473429,-1.6,22.22,0.0,0.0,0.0,90.0
70,0.71,car.leftforward2,290.1071452973231,-1.6,22.22,0.0,0.0,0.0,90.0
71,0.72,car.leftforward2,290.32934312121716,-1.6,22.22,0.0,0.0,0.0,90.0
72,0.73,car.leftforward2,290.55154094511124,-1.6,22.22,0.0,0.0,0.0,90.0
73,0.74,car.leftforward2,290.77373876900526,-1.6,22.22,0.0,0.0,0.0,90.0
74,0.75,car.leftforward2,290.99593659289934,-1.6,22.22,0.0,0.0,0.0,90.0
75,0.76,car.leftforward2,291.2181344167934,-1.6,22.22,0.0,0.0,0.0,90.0
76,0.77,car.leftforward2,291.44033224068744,-1.6,22.22,0.0,0.0,0.0,90.0
77,0.78,car.leftforward2,291.6625300645815,-1.6,22.22,0.0,0.0,0.0,90.0
78,0.79,car.leftforward2,291.8847278884756,-1.6,22.22,0.0,0.0,0.0,90.0
79,0.8,car.leftforward2,292.1069257123696,-1.6,22.22,0.0,0.0,0.0,90.0
80,0.81,car.leftforward2,292.3291235362637,-1.6,22.22,0.0,0.0,0.0,90.0
81,0.82,car.leftforward2,292.5513213601578,-1.6,22.22,0.0,0.0,0.0,90.0
82,0.83,car.leftforward2,292.7735191840518,-1.6,22.22,0.0,0.0,0.0,90.0
83,0.84,car.leftforward2,292.99571700794587,-1.6,22.22,0.0,0.0,0.0,90.0
84,0.85,car.leftforward2,293.21791483183995,-1.6,22.22,0.0,0.0,0.0,90.0
85,0.86,car.leftforward2,293.440112655734,-1.6,22.22,0.0,0.0,0.0,90.0
86,0.87,car.leftforward2,293.66231047962805,-1.6,22.22,0.0,0.0,0.0,90.0
87,0.88,car.leftforward2,293.8845083035221,-1.6,22.22,0.0,0.0,0.0,90.0
88,0.89,car.leftforward2,294.1067061274162,-1.6,22.22,0.0,0.0,0.0,90.0
89,0.9,car.leftforward2,294.3289039513102,-1.6,22.22,0.0,0.0,0.0,90.0
90,0.91,car.leftforward2,294.5511017752043,-1.6,22.22,0.0,0.0,0.0,90.0
91,0.92,car.leftforward2,294.7732995990984,-1.6,22.22,0.0,0.0,0.0,90.0
92,0.93,car.leftforward2,294.9954974229924,-1.6,22.22,0.0,0.0,0.0,90.0
93,0.94,car.leftforward2,295.2176952468865,-1.6,22.22,0.0,0.0,0.0,90.0
94,0.95,car.leftforward2,295.43989307078056,-1.6,22.22,0.0,0.0,0.0,90.0
95,0.96,car.leftforward2,295.66209089467463,-1.6,22.22,0.0,0.0,0.0,90.0
96,0.97,car.leftforward2,295.88428871856865,-1.6,22.22,0.0,0.0,0.0,90.0
97,0.98,car.leftforward2,296.10648654246273,-1.6,22.22,0.0,0.0,0.0,90.0
98,0.99,car.leftforward2,296.3286843663568,-1.6,22.22,0.0,0.0,0.0,90.0
99,1.0,car.leftforward2,296.55088219025083,-1.6,22.22,0.0,0.0,0.0,90.0
100,1.01,car.leftforward2,296.7730800141449,-1.6,22.22,0.0,0.0,0.0,90.0
101,1.02,car.leftforward2,296.995277838039,-1.6,22.22,0.0,0.0,0.0,90.0
102,1.03,car.leftforward2,297.217475661933,-1.6,22.22,0.0,0.0,0.0,90.0
103,1.04,car.leftforward2,297.4396734858271,-1.6,22.22,0.0,0.0,0.0,90.0
104,1.05,car.leftforward2,297.66187130972116,-1.6,22.22,0.0,0.0,0.0,90.0
